LAT,LON,PREDICTED_FIRE,MOUNTAIN
37.615542,126.4296828,1,마니산
36.75665,127.30996,1,봉화대
36.0188556,127.7880167,1,오봉산
35.7561861,127.6044389,1,압곡봉
36.53412,127.83699,1,남산
35.87284,128.9165,1,송청산
34.4487611,127.1397972,1,용두봉
36.3893554,129.1623858,1,주왕산 주봉
34.9498,128.66476,1,명하뒷산
35.8516417,128.4597889,1,죽곡산
35.988225,129.2947389,1,형산
36.2775007,126.9247102,1,금성산
37.60028,127.34916,1,아래당미산
36.73077,126.54634,1,오학산
36.10883,127.68557,1,새말봉
35.9101,128.3349,1,금동산
37.5836898,127.218671,1,금대산
37.7862739,126.8508797,1,만장산
37.2011722,128.3549278,1,오로산
37.41641,127.13788,1,동매산
34.8032,126.8686,1,삼각점
35.1490882,126.8120853,1,말미산
36.8717028,128.4981222,1,마산
37.47083,128.07519,1,팔자봉
35.0750583,127.2733222,1,계관산
35.1159028,128.0995306,1,금산
36.99637,128.6411,1,부석봉
34.5942,127.4425,1,삼각점
36.82267,127.77679,1,부엉디미산
37.20727,127.71493,1,안평봉
36.72494,128.82252,1,영지산
36.9652032,128.7349449,1,만석산
35.9825273,126.7026489,1,월명산
37.8799222,127.2922556,1,아치산
36.8862722,128.7304333,1,호골산
36.8470444,126.5581417,1,봉화산
37.4139595,126.9363808,1,비봉산
36.87209,128.35833,1,낙골산
